REF NO, NAME, ADDRESS, CITY, PROVINCE, POSTALCODE
0773,"TAYLOR SHELLFISH CANADA ULC DBA FANNY BAY OYSTERS","8260 SOUTH ISLAND HIGHWAY","FANNY BAY","BC","V0R1W0"
0994,"TAYLOR SHELLFISH CANADA ULC","8260 SOUTH ISLAND HIGHWAY","FANNY BAY","BC","V0R1W0"
0712,"SOO JERKY LIMITED","13191 PRINCESS STREET","RICHMOND","BC","V7E3S1"
0787,"FRENCH CREEK SEAFOOD LTD.","1097 LEE ROAD","PARKSVILLE","BC","V9P2E1"
0985,"TAIWAN FOOD PRODUCTS LTD.","#10A - 8145 130TH STREET","SURREY","BC","V3W7X4"
1926,"GRAND HALE MARINE PRODUCTS COMPANY LIMITED","11551 TWIGG PLACE","RICHMOND","BC","V6V2Y2"
0763,"GREAT GLACIER SALMON LTD.","MILE 35","PRINCE RUPERT","BC","-"
1985,"CIWA INVESTMENTS CO. LTD. DBA HING LEE SEAFOODS","#8 - 12671 BATHGATE WAY","RICHMOND","BC","V6V1Y5"
1933,"DELTA PACIFIC SEAFOODS LTD.","6001- 60TH AVENUE","DELTA","BC","V4K4E2"
1907,"ISLAND SCALLOPS LTD.","5552 WEST ISLAND HIGHWAY","QUALICUM BEACH","BC","V9K2C8"
0902,"KANATA HOLDINGS LTD. DBA ORCA SEAFOODS LTD.","200 - 11251 RIVER ROAD","RICHMOND","BC","V6X1Z6"
1833,"DIANA'S SEAFOOD","2101 LAWRENCE AVENUE EAST","SCARBOROUGH","ON","M1R2Z4"
0745,"KITASOO SEAFOODS LTD.","GENERAL DELIVERY","KLEMTU","BC","V0T1L0"
0742,"COAST TSIMSHIAN FISH PLANT LTD.","100 SHASHAAK STREET","LAX KW'ALAAMS","BC","V0V1H0"
0947,"LEADER COLD STORAGE LTD.","3900 VIKING WAY","RICHMOND","BC","V6V1N6"
0604,"ALL TEMP FOODS LTD","15 INDUSTRIAL ROAD","LEAMINGTON","ON","N8H4W4"
0777,"LIONS' GATE FISHERIES LTD.","4179 RIVER ROAD WEST","DELTA","BC","V4K1R9"
1762,"ALLSEAS FISHERIES CORP.","55 VANSCO ROAD","TORONTO","ON","M8Z5Z8"
1918,"LIONS' GATE FISHERIES LTD.","612 CAMPBELL STREET","TOFINO","BC","V0R2Z0"
1653,"BOS SMOKED FISH INC","1175 PATTULLO AVENUE","WOODSTOCK","ON","N4S7W3"
0657,"(A DIVISION OF COLE-MUNRO FOODS INC)","54 VANKOOGHNET ST E","LITTLE CURRENT","ON","POP1K0"
1693,"COLE-MUNRO FOODS GROUP INC.","5 BARRIE BOULEVARD","ST. THOMAS","ON","N5P4B9"
1771,"CANYON CREEK FOOD COMPANY LTD.","8704  53RD AVENUE","EDMONTON","AB","T6E5G2"
1896,"ETOBICOKE NOODLES INC.","66 NEWCASTLE STREET","TORONTO","ON","M8Y1A4"
1647,"FEATURE FOODS INTERNATIONAL INC.","30 FINLEY ROAD","BRAMPTON","ON","L6T1A9"
1684,"FERROCLAD FISHERY","24 FERROCLAD ROAD","BATCHAWANA BAY","ON","P0S1A0"
1664,"FRESHWATER FISH MARKETING CORPORATION","-","WINNIPEG","MB","R2C3L4"
1748,"SOFINA FOODS INC./ ALIMENTS SOFINA INC.","401 CANARCTIC DRIVE","TORONTO","ON","M3J2P9"
1890,"LA NASSA SEAFOOD","215 INDUSTRY ROAD","KINGSVILLE","ON","N9Y1K9"
0635,"INDEPENDENT FISH CO LTD","941 SHERBROOK STREET","WINNIPEG","MB","R3A1N3"
0628,"MARINER NEPTUNE FISH & SEAFOOD CO LTD","472 DUFFERIN AVE","WINNIPEG","MB","R2W2Y6"
1712,"MINOR FISHERIES LTD.","1070 ELM STREET","PORT COLBORNE","ON","L3K5V5"
1752,"WILD WEST STEELHEAD","NE Q 21-23-07 W3","LUCKY LAKE","SK","S0L1Z0"
1849,"OCEAN FOOD COMPANY LIMITED","3 TURBINA AVENUE","SCARBOROUGH","ON","M1V5G3"
1742,"PACIFIC FRESH FISH LTD.","679 HENDERSON DRIVE","REGINA","SK","S4N6A8"
1867,"PRESTEVE FOODS LIMITED","20954 ERIE STREET SOUTH","WHEATLEY","ON","N0P2P0"
1718,"PURDY FISHERIES LTD.","RIVER FRONT","POINT EDWARD","ON","-"
1775,"POS BIO-SCIENCES","118 VETERINARY ROAD","SASKATOON","SK","S7N2R4"
1774,"SEACORE SEAFOOD INC.","81 AVIVA PARK DRIVE","WOODBRIDGE","ON","L4L9C1"
1830,"THE PURVIS BROS. LIMITED","1981 BURNT ISLAND ROAD","BURNT ISLAND","ON","P0P1Y0"
1853,"LES PLATS DU CHEF ULC","610 OSTER LANE","VAUGHAN","ON","L4K2C1"
1293,"TRUE NORTH SALMON LIMITED PARTNERSHIP","17 WALKER DRIVE","CHARLOTTETOWN","PE","C1A8S5"
2302,"BELLE RIVER ENTERPRISES LIMITED","12 WATERVIEW LANE","BELLE RIVER","PE","C0A1B0"
2001,"BURLEIGH BROS. SEAFOODS LTD","224 BURLEIGH ROAD","ELLERSLIE","PE","C0B1J0"
0610,"COUNTRY QUEEN FOODS INC.","205 WILKINSON ROAD","BRAMPTON","ON","L6T4M2"
2390,"F T C ENTERPRISES LIMITED","101 BELVEDERE AVENUE","CHARLOTTETOWN","PE","C1A6B3"
2307,"MACKINNON'S LOBSTER POUND LTD.","2 PRINCE ST.","CHARLOTTETOWN","PE","C1A4P5"
2394,"P.E.I. MUSSEL KING (1994) INC.","318 RED HEAD ROAD","RED HEAD","PE","C0A1S0"
0607,"INOVATA FOODS CORP.","95 SPRUCE ST","TILLSONBURG","ON","N4G5C4"
1932,"ICY WATERS LTD.","KM 4.2 FISH LAKE ROAD","WHITEHORSE","YT","-"
2354,"PRINCE EDWARD AQUA FARMS INC","5891 ROUTE 20","SPRINGBROOK","PE","C0B1M0"
2372,"RASPBERRY POINT OYSTER CO INC","9539 CAVENDISH ROAD","BAYVIEW","PE","C011N0"
2391,"ROYAL STAR FOODS LTD.","175 JUDES POINT ROAD","TIGNISH","PE","C0B2B0"
2392,"ROYAL STAR FOODS LTD.","439 FOUNDERS LANE","TIGNISH","PE","C0B2B0"
1110,"OCEAN CONCORD","428 MAIN STREET","MULGRAVE","NS","B0E2G0"
0827,"SEAFOOD 2000 LTD","10 WATER STREET","GEORGETOWN","PE","C0A1L0"
3221,"OCEAN PRAWNS","WATER STREET","HARBOUR GRACE","NL","-"
0826,"SUMMERSIDE SEAFOOD SUPREME INC.","105 QUEEN'S WHARF","SUMMERSIDE","PE","C1N2V5"
2386,"TRACADIE BAY AQUA FARMS INC.","460 HARBOUR ROAD","GRAND TRACADIE","PE","C0A1P0"
0651,"KIVALLIQ ARCTIC FOODS LTD","PTN LOT 40, PLAN 603","RANKIN INLET","NU","X0C0G0"
1640,"KITIKMEOT FOODS LTD","15 MITIK STREET","CAMBRIDGE BAY","NU","X0B0C0"
1758,"PANGNIRTUNG FISHERIES LTD.","653 LAKESHORE RD","PANGNIRTUNG","NU","-"
2122,"3 T'S LIMITED","24 WATER ST","WOODY POINT","NL","A0K1P0"
0151,"ALLEN'S FISHERIES LIMITED","392 MAIN STREET","BENOIT'S COVE","NL","A0L1A0"
1433,"GUNNING COVE INDUSTRIES LIMITED","601 SHORE ROAD","SHELBURNE","NS","B0T1W0"
1345,"CAPITAL SEAFOOD INTERNATIONAL INCORPORATED","100 GOVERNMENT WHARF ROAD","EASTERN PASSAGE","NS","B3G1M5"
2466,"MICHEL & CHARLES LEBLANC FISHERIES LTD.","61 RUE GAUTREAU","CAP-PELE","NB","E4N1V2"
0393,"HERVIC ENTERPRISES LIMITED","2896 MELBOURNE ROAD","YARMOUTH","NS","B0W1B0"
1403,"HOPKINS & DEVINE FISHERIES LIMITED","6579 HIGHWAY 3","WOODS HARBOUR","NS","B0W2E0"
0348,"CAPTAIN DAN'S INC","320 CHEMIN CAP-LUMIÈRE","CAP-LUMIÈRE","NB","E4W1E2"
1461,"HUSKINS FISHERIES LIMITED","954 FORBES POINT ROAD","WOODS HARBOUR","NS","-"
0233,"IMO FOODS LIMITED","PO BOX 236","YARMOUTH","NS","B5A4B2"
0047,"ALLEN'S FISHERIES LIMITED","420 MAIN STREET","BENOIT'S COVE","NL","A0L1A0"
0031,"ANDREW DALEY LIMITED "ROYAL MARINER"","MAIN ROAD","ST. JOSEPH'S","NL","-"
0133,"AQUA CRAB PRODUCERS INC.","54 LOOP ROAD","AQUAFORTE","NL","-"
0043,"ATLANTIC TREASURE SEAFOODS LIMITED","88 SOUTHSIDE ROAD","COLEY'S POINT","NL","-"
1085,"AVALON OCEAN PRODUCTS, INCORPORATED","MAIN ROAD","FAIR HAVEN","NL","AOB1T0"
1068,"BARRY GROUP INC.","433 GRIFFIN DRIVE","CORNER BROOK","NL","-"
0104,"BAY ROBERTS SEAFOODS LIMITED","208 WATER ST","BAY ROBERTS","NL","-"
1069,"GULF SHRIMP LIMITED","PO BOX 94,","BAIE VERTE","NL","A0K1B0"
0193,"QUIN-SEA FISHERIES LIMITED","40 HARBOUR ROAD","CAPE BROYLE","NL","A0A1P0"
0040,"CARINO PROCESSING LTD.","1 FISH PLANT RD","SOUTH DILDO","NL","A0B1R0"
2111,"CARROLL'S STORE AND FISHERIES LIMITED","53 OCEAN VIEW ROAD","COOK'S HARBOUR","NL","-"
0081,""ACADIENNE GALE II"","MOORFROST PIER","BAY ROBERTS","NL","A1N4R7"
0496,"JAMES L. MOOD FISHERIES LIMITED","130 FALLS POINT ROAD","WOODS HARBOUR","NS","B0W2E0"
3199,"FAME FISHERIES LIMITED "NEWFOUND PIONEER"","157 WATER STREET","BAY ROBERTS","NL","A0A1G0"
0477,"K&N FISHERIES LIMITED","130 SEAL POINT ROAD","UPPER PORT LATOUR","NS","B0W3N0"
1134,"DOUG NORMAN & SONS LIMITED","DELANEY'S ROAD","FOXTRAP","NL","-"
1116,"EASTERN FISH MARKETS LIMITED","54 MAIN STREET SOUTH","CARMANVILLE","NL","A0G1N0"
1443,"LEO G. ATKINSON FISHERIES LIMITED","89 DANIEL'S HEAD RD.","SHELBURNE COUNTY","NS","B0W1P0"
3247,"M.V. NORTHERN EAGLE","385 PURVES STREET","NORTH SYDNEY","NS","B2A3M3"
0058,"FOGO ISLAND CO-OPERATIVE SOCIETY LIMITED","147 SOUTHSIDE ROAD","JOE BATT'S ARM","NL","A0G2X0"
0010,"FOGO ISLAND CO-OPERATIVE SOCIETY LIMITED","22-24 GARRISON ROAD","FOGO","NL","A0G2B0"
0425,"MERSEY SEAFOODS LIMITED","26 BRISTOL AVENUE","LIVERPOOL","NS","B0T1K0"
3128,"MERSEY VENTURE","50 WHARF ROAD","STORMONT","NS","B0H1J0"
0413,"HIGH LINER FOODS INCORPORATED/LES ALIMENTS HIGH LINER INCORPOREE","100 BATTERY POINT","LUNENBURG","NS","B0J2C0"
2231,"NORTH NOVA SEAFOODS LIMITED","164 NORTH NOVA LANE","PICTOU","NS","B0K1H0"
0095,"GOULD'S FISHERIES LIMITED","32 MAIN ST","RIVER OF PONDS","NL","A0K4M0"
0480,"O'NEIL FISHERIES LIMITED","144 WATER STREET","DIGBY","NS","B0V1A0"
0027,"OCEAN CHOICE INTERNATIONAL L.P.","262-264 HARBOUR DRIVE","LAWN","NL","-"
1006,"OCEAN CHOICE INTERNATIONAL L.P.","WATER STREET WEST","ST. LAWRENCE","NL","-"
3064,"OCEAN PRIDE FISHERIES LIMITED","136 JACQUARD ROAD","YARMOUTH COUNTY","NS","B0W2B0"
3072,"OCEANS' BEST SEAFOOD LIMITED","8630 HWY 1","METEGHAN CENTRE","NS","B0W2K0"
0079,"GREEN SEAFOODS LIMITED","PINHORN'S BEACH","WINTERTON","NL","-"
3241,"PITTMAN'S LOBSTERS INC.","40 HARBOUR STREET","GLACE BAY","NS","-"
2147,"H. HOPKINS LTD.","2 TUCKERS COVE ROAD","COW HEAD","NL","A0K2A0"
0102,"HAPPY ADVENTURE SEA PRODUCTS (1991) LIMITED","16 PLANT RD","HAPPY ADVENTURE","NL","-"
1486,"PREMIUM SEAFOODS LIMITED","616 VETERAN'S MEMORIAL DRIVE","ARICHAT","NS","B0E1A0"
1384,"PUBNICO TRAWLERS LIMITED","155 HIGHWAY 3","LOWER EAST PUBNICO","NS","B0W2A0"
3322,"R. BAKER FISHERIES LIMITED","32 WATER STREET","LOCKEPORT","NS","B0T1L0"
3328,"OCEANS' BEST SEAFOOD LIMITED  (M/V FINAL VENTURE)","8632 HIGHWAY 1","CANSO","NS","B0H1H0"
2106,"HARBOUR SEAFOODS LIMITED","93 MAIN STREET SOUTH","ROCKY HARBOUR","NL","A0K4N0"
1096,"HSF OCEAN PRODUCTS LTD.","MAIN ROAD","O'DONNELLS","NL","A0B3A0"
0279,"SABLE FISH PACKERS (1988) LIMITED","377 DANIELS HEAD ROAD","SHELBURNE COUNTY","NS","B0W1P0"
1389,"SALT WATER FISHERIES LIMITED","2879 PINKNEY'S POINT","YARMOUTH COUNTY","NS","-"
1435,"SCHOONER SEAFOODS LIMITED","51 DOUCET WHARF ROAD","YARMOUTH COUNTY","NS","B0W2B0"
0136,"J.W. HISCOCK SONS LIMITED","14 KEATINGS ROAD.","BRIGUS","NL","A0A1K0"
1323,"SEA BROOK FISHERIES LIMITED","12568 HIGHWAY 217,","DIGBY","NS","-"
1322,"SEA CREST FISHERIES LIMITED","30 COMEAUVILLE WHARF RD","COMEAUVILLE","NS","-"
1087,"LABRADOR FISHERMEN'S UNION SHRIMP COMPANY LIMITED (PINSENT'S ARM)","1 MAIN ST","PINSENTS ARM","NL","A0K5Y0"
3040,"SEA STAR SEAFOODS LIMITED","69 COURTNEY STREET","CLARK'S HARBOUR","NS","BOW1P0"
1043,"LABRADOR FISHERMEN'S UNION SHRIMP COMPANY LIMITED","278 - 284 MAIN STREET","MARY'S HARBOUR","NL","-"
1044,"LABRADOR FISHERMEN'S UNION SHRIMP COMPANY LIMITED","1 MAIN ROAD","CARTWRIGHT","NL","A0K1Z0"
0113,"LABRADOR FISHERMEN'S UNION SHRIMP COMPANY LIMITED","46-48 WATERFRONT ROAD","L'ANSE-AU-LOUP","NL","A0K3L0"
0013,"LEADING TICKLES SEAFOODS INC.","1 MAIN ROAD","LEADING TICKLES","NL","-"
0070,"NORTH ATLANTIC AQUAPONICS LTD.","MAIN ROAD","ROBINSONS","NL","-"
3077,"SHOALWATER SEAFOODS LIMITED","2371 HWY # 1","ANNAPOLIS COUNTY","NS","B0S1A0"
LL32103,"R.I. SMITH LOBSTER CO. LTD.","P.O. BOX 9","SHAG HARBOUR","NS","B0W3B0"
LL32104,"SIMPLY FRESH SEAFOODS INC.","109 BOUNDARY STREET","CLARK'S HARBOUR","NS","B0W1P0"
LL32114,"I. DEVEAU FISHERIES LIMITED","508 HIGHWAY 330","NORTH EAST POINT","NS","B0W2P0"
LL32129,"W. SEARS SEAFOODS LIMITED","44 FISH PLANT ROAD","THE HAWK","NS","B0W1P0"
4213,"ATLANTIC AQUA FARMS LTD.","10 BORDEN AVENUE","BORDEN-CARLETON","PE","COB1X0"
0242,"QUALITY SEAFOODS LIMITED","306 HILTON ROAD","ROCKVILLE","NS","B5A4B3"
1051,"TERRA VISTA LIMITED","188 B MAIN ST. NORTH","GLOVERTOWN","NL","A0G2L0"
1106,"GOLDEN SHELL FISHERIES (2014) LIMITED","1 WHARF ROAD","HICKMAN'S HARBOUR","NL","A0C1P0"
1356,"LOUISBOURG SEAFOODS LIMITED","3 COMMERCIAL STREET","LOUISBOURG","NS","B1C1B5"
1818,"INTERCITY PACKERS LTD.","6880 PACIFIC CIRCLE","MISSISSAUGA","ON","L5T1N8"
3522,"A & L SEAFOODS LIMITED","20 MINTO STREET","LOUISBOURG","NS","B1C1L1"
0776,"ARCTIC PEARL ICE & COLD STORAGE LTD","2500 VISCOUNT WAY","RICHMOND","BC","V6V1N1"
3722,"TRANSFORMATION SEAFOODS INC.","8488 HWY #3","CHARLESVILLE","NS","-"
0970,"CLEAR BAY FISHERIES INC.","#13 - 16, 12200 VULCAN WAY","RICHMOND","BC","V6V1J8"
2329,"ATLANTIC AQUA FARMS LTD.","918 BRUSH WHARF ROAD","ORWELL COVE","PE","C0A2E0"
1905,"WALCAN SEAFOOD  LTD.","2025 HYACINTHE BAY ROAD","HERIOT BAY","BC","V0P1H0"
0373,"CAPE BALD PACKERS, LIMITED","2618 CHEMIN ACADIE ROAD","CAP-PELE","NB","E4N1E3"
0199,"BEOTHIC FISH PROCESSORS LIMITED","9 BEOTHIC RD","VALLEYFIELD","NL","AOG1B0"
2413,"RAYMOND O'NEILL & SON FISHERIES LTD.","221 ESCUMINAC ROAD","ESCUMINAC","NB","E9A1V6"
0084,"ICEWATER SEAFOODS INC.","22-24 HIGH LINER DRIVE","ARNOLD'S COVE","NL","A0B1A0"
4210,"HOWARD'S COVE SHELLFISH LTD.","152 FREDERICK COVE RD","FREELAND","PE","C0B1J0"
0315,"L & C FISHERIES INC.","96 JOLLIMORE ROAD, RR2","KENSINGTON","PE","C0B1M0"
0272,"HOPKINS & DEVINE FISHERIES LIMITED","6579 HWY.3, LOWER WOODS HARBOUR","SHELBURNE COUNTY","NS","B0W2E0"
3754,"TRUE WORLD FOODS, INC. OF CANADA","40 GOODICK ROAD","SHELBURNE","NS","B0T1W0"
3569,"CRANE COVE SEAFOODS LIMITED PARTNERSHIP","4123 SHORE RD","ESKASONI","NS","B1W1C2"
0730,"SEAGATE FISHERIES LTD.","12180 VULCAN WAY","RICHMOND","BC","V6V1J8"
0722,"VAN SEA'S WHOLESALE PROCESSING INC.","3777 KEITH STREET","BURNABY","BC","V5J3B9"
5005,"BAXTERS CANADA INC.","4800 AVE. PINARD","SAINT-HYACINTHE","QC","J2S8E1"
4009,"PÉCHERIES BAS-CARAQUET FISHERIES INC.","2270 RUE INDUSTRIELLE","BAS-CARAQUET","NB","E1W5Z2"
3757,"OCEAN PRIDE FISHERIES LIMITED","138 JACQUARD RD","LOWER WEDGEPORT","NS","B0W2BO"
3570,"THREE PORTS FISHERIES LIMITED","897 ALDER POINT ROAD","ALDER POINT","NS","B1Y1B3"
4226,"CAPTAIN COOKE'S SEAFOOD INC.","23675 TRANS CANADA HIGHWAY","BORDEN-CARLETON","PE","C0B1X0"
0644,"APETITO CANADA LIMITED","12 INDELL LANE","BRAMPTON","ON","L6T3Y3"
3752,"GERRET ENTERPRISES INCORPORATED","58 BOUNDARY STREET","CLARK'S HARBOUR","NS","B0W1P0"
0999,"LIMBERIS SEAFOOD PROCESSING LTD.","5025 LIMBERIS DRIVE","LADYSMITH","BC","V9G1M6"
0636,"MACGREGOR MEAT & SEAFOOD LTD.","258 GARYRAY DRIVE","TORONTO","ON","M9L1P1"
3526,"PETIT DE GRAT PACKERS LIMITED","24 ALDERNEY POINT","PETIT DE GRAT","NS","-"
0784,"ALBION FARMS AND FISHERIES","GOVERNMENT WHARF","QUEEN CHARLOTTE","BC","V0T1S0"
0982,"FGC FOODS LTD.","5451 - 275TH STREET","LANGLEY","BC","V4W3X8"
5099,"USINE COWIE","660 RUE BERNARD","GRANBY","QC","J2J0H6"
2356,"ATLANTIC SHELLFISH PRODUCTS INC.","306 RED HEAD ROAD","MORELL","PE","C0A1S0"
2326,"LESLIE HARDY & SONS LTD.","84 FOSTER SHARP ROAD","BIDEFORD EAST","PE","C0B1J0"
2343,"EAST RIVER SHELLFISH INC.","10 MACDONALD ROAD","GLENFINNAN","PE","C1A7J8"
0623,"SUNWEST FOOD PROCESSORS LTD.","35 NORTHLAND ROAD","WATERLOO","ON","N2V1Y8"
3702,"INNOVATIVE FISHERY PRODUCTS INCORPORATED","3569 HWY 1","ST. BERNARD","NS","B0W1J0"
3724,"INNOVATIVE FISHERY PRODUCTS INCORPORATED","3569 HIGHWAY 1","ST. BERNARD","NS","B0W1J0"
3725,"EEL LAKE OYSTER FARM LTD.","6590 HIGHWAY 3","YARMOUTH","NS","B0W2X0"
5214,"ATKINS ET FRÈRES INC.","1, CHANOINE- RICHARD","MONT-LOUIS","QC","G0E1T0"
0706,"CANADIAN FISHING COMPANY","FOOT OF GORE AVENUE","VANCOUVER","BC","V6A2Y7"
0435,"L'ASSOCIATION COOPÉRATIVE DES PÊCHEURS DE L'ILE LIMITÉE","90 RUE PRINCIPALE","LAMÈQUE","NB","E8T1M8"
1861,"CAMPBELL COMPANY OF CANADA/COMPAGNIE CAMPBELL DU CANADA","60 BIRMINGHAM STREET","TORONTO","ON","M8V2B8"
0789,"CLOVERDALE COLD STORAGE LTD. #1","3177 - 188TH STREET","SURREY","BC","V3Z9V5"
0782,"SUNSET COAST TOWING LTD.","7124 THUNDER BAY STREET","POWELL RIVER","BC","V8A1E6"
0045,"LABRADOR FISHERMEN'S UNION SHRIMP COMPANY LIMITED","1 MARINE DRIVE","CHARLOTTETOWN","NL","A0K5Y0"
3729,"INLET SEAFOODS LIMITED","97 DANIEL'S HEAD RD","SHELBURNE COUNTY","NS","-"
0050,"DORMAN ROBERTS LIMITED","363 MAIN ST.","TRITON","NL","A0J1V0"
0796,"SAKURA SEAFOOD CO. LTD.","#293 - 295 BAYVIEW DRIVE","PORT EDWARD","BC","V0V1G0"
3341,"COMEAU'S SEA FOODS LIMITED","1065 ROUTE 3","MIDDLE WEST PUBNICO","NS","B0W2A0"
0627,"LEF MCLEAN BROTHERS INTERNATIONAL (2001) INC.","20912 ERIE ST SOUTH","WHEATLEY","ON","N0P2P0"
0785,"CAMPBELL RIVER SEAFOODS & LOCKERS LTD.","1900 NORTH ISLAND HIGHWAY","CAMPBELL RIVER","BC","V9W2G2"
0920,"COASTWISE PROCESSORS INC.","#11 - 9548 192ND STREET","SURREY","BC","V4N3R9"
3533,"CAPE JOHN CRABS & SEAFOODS LIMITED","1351 CAPE JOHN RD","RIVER JOHN","NS","B0K1N0"
4215,"KEYBRAND FOODS","23 FOURTH STREET","CHARLOTTETOWN","PE","C1E2B4"
