"ADRICE CORMIER LTD.","516","CHEMIN BAS"," ","BAS-CAP-PELÉ","NB","E4N3B3"
"ALVIN & RUFIN BOUDREAU & SONS LTD.","1724","ROUTE 950"," ","TROIS-RUISSEAUX","NB","E4N2Z6"
"AMCO FISHERIES LTD. (PLANT #1)","915","ROUTE 950"," ","BAS-CAP-PELÉ","NB","E4N3B3"
"AMCO FISHERIES LTD","896","CHEMIN BAS-CAP-PELÉ"," ","BAS-CAP-PELÉ","NB","E4N1K3"
"B.A. RICHARD LTD.","374","CHEMIN COTE SAINTE-ANNE"," ","STE. ANNE DE KENT","NB","E4S1M6"
"BAIE STE- ANNE SEAFOODS (2014) INC.","143","CHEMIN ESCUMINAC POINT"," ","ESCUMINAC","NB","E9A1V6"
"BOTSFORD FISHERIES LTD.","2112","ROUTE 950"," ","PETIT-CAP","NB","E4N2J8"
"BOUDREAU FARM & SEA PRODUCTS LTD","1920","ROUTE 950"," ","PETIT-CAP","NB","E4N2J2"
"BRUN FISHERIES LTD.","73","CHEMIN DE L'ÎLE"," ","PETIT-CAP","NB","E4N2G6"
"BOTSFORD FISHERIES LTD.","2181","ROUTE 950"," ","PETIT-CAP","NB","E4N2H8"
"ABRIEL FISHERIES COMPANY","368","COOPER'S ROAD"," ","TANGIER","NS","B0J3H0"
"COCAGNE SEAFOOD (1995) LTD.","4638","ROUTE 134"," ","COCAGNE","NB","E4R3R3"
"CONNORS BROS. CLOVER LEAF SEAFOODS COMPANY","180","BRUNSWICK STREET"," ","BLACKS HARBOUR","NB","E5H1G6"
"NOTRE DAME SEAFOODS INC.","13-23","COVE ROAD"," ","COMFORT COVE","NL","A0G3K0"
"SILVER ROE SEAFOODS LIMITED","270","DENNIS POINT RD."," ","LOWER WEST PUBNICO","NS","B0W2C0"
"QUIN-SEA FISHERIES LIMITED","257-269","MARINE DRIVE"," ","SOUTHERN HARBOUR","NL","A0B3H0"
"PRINCETON SEAWATER FISHERIES LIMITED"," ","MAIN ROAD"," ","PRINCETON","NL","A0C2K0"
"ST. MARY'S RIVER SMOKEHOUSES","8000","HWY 7"," ","SHERBROOKE","NS","BOJ3C0"
"QUIN-SEA FISHERIES LIMITED","50-70","MARINE DRIVE"," ","OLD PERLICAN","NL","A0A3G0"
"QUINLAN BROTHERS, LIMITED","73-79","MARINE DRIVE"," ","OLD PERLICAN","NL","A0A3G0"
"QUINLAN BROTHERS LIMITED","6","WHARF RD"," ","BAY DE VERDE","NL","-"
"OCEAN FRESH MUSSEL GROWERS LTD"," ","WHARF LOOP ROAD"," ","SUMMERFORD","NL","A0G2E0"
"NATURES SEA FARMS INC.","5","WHARF LANE"," ","ST. ALBAN'S","NL","A0H2E0"
"YARMOUTH SEA PRODUCTS LIMITED","34","PETER DUGAS ROAD"," ","METEGHAN","NS","B0W2J0"
"STONEY ISLAND FISHERIES LIMITED","78","BULL HEAD ROAD"," ","STONEY ISLAND","NS","B0W3J0"
"TRIPLE ""M"" SEAFOODS LIMITED","15","RALPHIES LANE"," ","LITTLE RIVER HARBOUR","NS","B0W1B0"
"ST. ANTHONY SEAFOODS LIMITED PARTNERSHIP","240 B","EAST STREET"," ","ST. ANTHONY","NL","A0K4T0"
"VICTORIA CO-OPERATIVE FISHERIES LIMITED","247","NEW HAVEN ROAD"," ","NEW HAVEN","NS","B0C1N0"
"OCEAN CHOICE INTERNATIONAL L.P.","#10","MAIN ROAD"," ","SUMMERVILLE","NL","-"
"AQUASHELL HOLDINGS INC.","13915","ROUTE 6"," ","WALLACE","NS","B0K1Y0"
"WM. R. MURPHY FISHERIES LIMITED","52","WHARF ROAD"," ","LITTLE RIVER HARBOUR","NS","B0W1B0"
"WOODS HARBOUR LOBSTER CO. LTD.","32-34","FERRY ROAD"," ","WOODS HARBOUR","NS","B0W2E0"
"YARMOUTH BAR FISHERIES LIMITED","598","HIGHWAY 304"," ","OVERTON","NS","B5A5G6"
"TORNGAT FISH PRODUCERS CO-OP SOCIETY LIMITED","10","CHURCH ROAD"," ","NAIN","NL","-"
"TORNGAT FISH PRODUCERS CO-OPERATIVE SOCIETY, LIMITED (MAKKOVIK)","140A","MORAVIAN STREET"," ","MAKKOVIK","NL","A0P1J0"
"WOOD-PICK ENTERPRISES LIMITED","9","SPURRELLS LANE"," ","WAREHAM","NL","A0G4P0"
"WOODMAN'S SEA PRODUCTS LIMITED","1","GOVERNMENT WHARF ROAD"," ","NEW HARBOUR","NL","A0B2P0"
"BAY ENTERPRISES LTD","2642","MALAGASH ROAD"," ","MALAGASH","NS","B0K1E0"
"I.C. FISH SMOKERS","1730","HWY 335"," ","LOWER WEST PUBNICO","NS","B0W2C0"
"SCOTIA GARDEN SEAFOOD INCORPORATED","112","WATER STREET"," ","YARMOUTH","NS","B5A4K5"
"SAMBRO FISHERIES LIMITED","40","LENNY'S LANE"," ","SAMBRO","NS","B3V1L5"
"SEA STAR SEAFOODS LIMITED","80","COURTNEY ST"," ","CLARK'S HARBOUR","NS","B0W1P0"
"SHIP'S LOBSTER POUND (2005)  LIMITED","197","LOBSTER POUND RD"," ","CAPE FOURCHU","NS","B0W2E0"
"L'ASSOCIATION COOPÉRATIVE DES PÊCHEURS DE L'ILE LTÉE/ISLAND FISHERMEN COOPERATIVE ASSOCIATION LTD","3046","ROUTE 117"," ","POINTE-SAPIN","NB","E9A1V1"
"DUGUAY FISH PACKERS LTD.","1062","CHEMIN BAS-CAP-PELE"," ","CAP-PELE","NB","E4N1K9"
"EASTERN SEA PRODUCTS LTD.","11","ADDISON AVENUE"," ","SCOUDOUC","NB","E4P3N3"
"ACADIAN FISH PROCESSORS LIMITED","171","D'ENTREMONT ROAD"," ","LOWER WEST PUBNICO","NS","B0W2C0"
"EDMOND GAGNON LTD","9","QUAI DES ROBICHAUD RD"," ","BARACHOIS","NB","E4P8A4"
"OCEANS ALIVE SEAFOODS LIMITED","39","PROSPECT POINT ROAD"," ","SHAG HARBOUR","NS","B0W3B0"
"ELPHEGE & NORBERT LEBLANC LTD.","47","CHEMIN DU QUAI CANADA"," ","PETIT-CAP","NB","E4N2E8"
"FUNDY BAY SEAFOOD","65","DIPPER HARBOUR ROAD"," ","DIPPER HARBOUR","NB","E5J2T1"
"ADVOCATE SEAFOODS LIMITED","3831","HIGHWAY 209"," ","ADVOCATE HARBOUR","NS","B0M1A0"
"GAUDET & OUELLETTE LTD.","519","CHEMIN BAS-CAP-PELE"," ","BAS-CAP-PELÉ","NB","E4N3B1"
"ICHIBOSHI L.P.C. LTD.","24","RUE DU QUAI CANADA"," ","CARAQUET","NB","E1W1B6"
"LA FERME OSTRÉICOLE CHIASSON LTÉE","31","RUE DE L'ETANG"," ","LAMÈQUE","NB","E8T1C2"
"FERME OSTRÉICOLE GAÉTAN DUGAS LTÉE","675","BOUL ST-PIERRE OUEST"," ","CARAQUET","NB","E1W1A2"
"POISSONNERIE LEGER FISHERIES LTEE/LTD.","38","CHEMIN DE LA CÔTE"," ","TROIS-RUISSEAUX","NB","E4N2V7"
"THAI UNION CANADA INC.","78","RUE DU QUAI CANADA"," ","VAL-COMEAU","NB","E1X4L1"
"BOLERO SHELLFISH PROCESSING INC.","1324","ROUTE 335"," ","ST. SIMON","NB","E8P2B2"
"PÊCHERIES STE-CÉCILE INC","136","CHEMIN LACROIX"," ","SAINTE-CÉCILE","NB","E8T2X2"
"AQUAPRIME MUSSEL RANCH LIMITED","14108","HIGHWAY #7"," ","SHIP HARBOUR","NS","B0J1Y0"
"LESLIE LEGER & SONS LTD","34","CHEMIN DE LA COTE"," ","TROIS-RUISSEAUX","NB","E4N2V7"
"MCGRAW SEAFOOD (2008) INC.","3113","RUE PRINCIPALE"," ","TRACADIE-SHEILA","NB","E1X1A2"
"B.C.D. FISHERIES LIMITED","22","LITTLE BROOK ROAD"," ","LITTLE BROOK","NS","B0W1Z0"
"BAKERS POINT FISHERIES LIMITED","33","BAKER'S POINT ROAD"," ","EAST JEDDORE","NS","B0J1W0"
"MISTY HARBOUR SEAFOOD","2304","OCEAN"," ","SAINT JOHN","NB","E2M5J4"
"BAY OF FUNDY FISHERIES LTD","120","HILLSBURN RD"," ","HILLSBURN","NS","B0S1K0"
"BARRY GROUP INC.","764","RUE PRINCIPALE"," ","LOWER NÉGUAC","NB","E9G1N5"
"OCEAN PIER INC.","20","PATTISON STREET"," ","SCOUDOUC","NB","E4P3R4"
"OUELLETTE SEA PRODUCTS LTD.","20","SHORE DRIVE"," ","PETIT-CAP","NB","E4N2K4"
"BIRCH STREET SEAFOODS LIMITED","35","BIRCH STREET"," ","DIGBY","NS","B0V1A0"
"OUELLETTE SEA PRODUCTS LTD","4","RUE BRUN"," ","PETIT-CAP","NB","E4N2E4"
"OVEN HEAD SALMON SMOKERS LTD","101","OVEN HEAD ROAD"," ","BETHEL","NB","E5C1S3"
"PÊCHERIES BELLE-ILE FISHERIES LTÉE LTD","4","RUE DU PORT"," ","SAINTE-MARIE-SUR-MER","NB","E8T1T4"
"PÊCHERIES ST-PAUL (1989) LTÉE./ST-PAUL FISHERIES (1989) LTD. (PLANT #2555)","2261","RUE INDUSTRIELLE"," ","BAS-CARAQUET","NB","E1W5Z1"
"PHILIP OUELLETTE & SONS LTD","44","CH DU QUAI CANADA"," ","PETIT-CAP","NB","E4N2G5"
"POINT QUEEN FISHERIES LTD","1207","ROUTE 172"," ","LETETE","NB","E5C3S8"
"PÊCHERIES ARSENEAU FISHERIES","221","RUE PRINCIPALE"," ","NIGADOO","NB","E8K3S8"
"THADDEE & ALVERIE FISHERIES LTD","14","CHEMIN DE L'ILES"," ","PETIT-CAP","NB","E4N2G7"
"PRODUITS BELLE BAIE LTEE","10","RUE DU QUAI CANADA"," ","CARAQUET","NB","E1W1B6"
"FUMOIR LA FÉE DES GRÈVES","1920","AVENUE"," ","QUÉBEC","QC","G1E3S3"
"ALIMENTS ED FOODS INC.","6200","RTE TRANS-CANADA"," ","POINTE-CLAIRE","QC","H9R1B9"
"CRUSTACÉS BAIE-TRINITÉ INC.","75","ROUTE 138"," ","BAIE-TRINITÉ","QC","G0H1A0"
"CRUSTACÉS DE MALBAIE INC.","1491","ROUTE 132 EST"," ","SAINT-GEORGES-DE-MALBAIE","QC","G0C2X0"
"CUSIMER (1991) INC.","54","1 IÈRE AVENUE OUEST"," ","MONT-LOUIS","QC","G0E1T0"
"E. GAGNON ET FILS LTEE","405","ROUTE 132"," ","SAINTE-THÉRÈSE-DE-GASPÉ","QC","G0C3B0"
"FERME PISCICOLE DES BOBINES INC.","1","RUE SAINT-HENRI"," ","EAST HEREFORD","QC","J0B1S0"
"FUMOIR GRIZZLY INC.","159"," "," ","SAINT-AUGUSTIN-DE-DESMAURES","QC","G3A2V5"
"CAPE BREEZE SEAFOODS LIMITED","3203","PORT LA TOUR ROAD"," ","PORT LA TOUR","NS","B0W2T0"
"LES ALIMENTS KRINOS FOODS CANADA LTD./LTEE.","5555","BOULEVARD"," ","MONTRÉAL","QC","H4R2H4"
"LA CREVETTE DU NORD ATLANTIQUE INC"," ","9 DE LA"," ","RIVIÈRE-AU-RENARD","QC","G4X5E9"
"LELIÈVRE, LELIÈVRE ET LEMOIGNAN LTÉE","52","RUE DES VIGNEAUX"," ","SAINTE-THÉRÈSE-DE-GASPÉ","QC","G0C3B0"
"CEILIDH FISHERMEN CO-OP LIMITED"," ","MURPHY'S POND ROAD"," ","PORT HOOD","NS","B0E2W0"
"CHARLESVILLE FISHERIES LIMITED","879","HWY 3"," ","LOWER EAST PUBNICO","NS","B0W2A0"
"CHASE'S LOBSTER POUND LIMITED","7935","HIGHWAY #6"," ","PORT HOWE","NS","B0L1K0"
"LES CRABIERS DU NORD INC","428","RUE PRINCIPALE"," ","PORTNEUF-SUR-MER","QC","G0T1P0"
"LES CRUSTACÉS DES MONTS INC.","1","RUE DU PARC"," ","SAINTE-ANNE-DES-MONTS","QC","G4V2V9"
"LES FRUITS DE MER DE L'EST DU QUÉBEC (1998) LTÉE","1600","MATANE-SUR-MER"," ","MATANE","QC","G4W3M6"
"LES FRUITS DE MER MADELEINE INC.","546","CHEMIN FOUGÈRE"," ","ETANG-DU-NORD","QC","G4T3B3"
" 54354 NL INC. - OLD FORT","1","MAIN ROAD"," ","OLD FORT BAY","QC","G0G2G0"
"LES PÊCHERIES GASPÉSIENNES INC.","48","RUE DES VAGUES"," ","PETIT-CAP","QC","G4X4M9"
"LES PÊCHERIES MARINARD LTÉE","41","RUE DE L'ENTREPÔT"," ","GASPÉ","QC","G4X5L3"
"LES PLATS DU CHEF ULC","51","RUE KESMARK"," ","MONTRÉAL","QC","H9B3J1"
"LES SERVICES ALIMENTAIRES DELTA DAILYFOOD (CANADA) INC.","26","RUE J MARC SÉGUIN"," ","RIGAUD","QC","J0P1P0"
"COOPÉRATIVE COMMUNAUTAIRE DE FRUITS DE MER DE LA BASSE COTE-NORD"," "," "," ","HARRINGTON HARBOUR","QC","G0G1N0"
"LA RENAISSANCE DES ÎLES INC.","18","CHEMIN DU QUAI CANADA"," ","GRANDE-ENTRÉE","QC","G4T7A1"
"CLEARWATER SEAFOODS LIMITED PARTNERSHIP","68","WATER STREET"," ","LOCKEPORT","NS","B0T1L0"
"LA RENAISSANCE DES ÎLES INC.","521","CHEMIN GROS-CAP"," ","ÉTANG-DU-NORD","QC","G4T3M1"
"POISSON SALÉ GASPÉSIEN LTÉE","39","RUE DU PARC"," ","GRANDE-RIVIÈRE","QC","G0C1V0"
"POISSONNERIE BLANCHETTE INC.","150","BOUL. PERRON"," ","SAINTE-ANNE-DES-MONTS","QC","G4V3A4"
"COMEAU'S SEA FOODS LIMITED","60","SAULNIERVILLE ROAD"," ","SAULNIERVILLE","NS","-"
"POISSONNERIE DE CLORIDORME INC.","643","ROUTE 132"," ","CLORIDORME","QC","G0E1G0"
"COMEAU'S SEA FOODS LIMITED","60"," "," ","SAULNIERVILLE","NS","-"
"POISSONNERIE DU HAVRE LTÉE","968","RUE DE LA BERGE"," ","HAVRE-SAINT-PIERRE","QC","G0G1P0"
"COMEAU'S SEA FOODS LIMITED","60","SAULNIERVILLE ROAD"," ","SAULNIERVILLE","NS","B0W2L0"
"POISSONNERIE JEAN-GUY LAPRISE INC.","142","RUE VALLILEE"," ","CHUTE-AUX-OUTARDES","QC","G0H1C0"
"POSÉIDON ""LES POISSONS ET CRUSTACÉS"" INC.","259","RUE DE LA MER"," ","LONGUE-POINTE-DE-MINGAN","QC","G0G1V0"
"FRANKLAND CANNING COMPANY","20","PATRICE ROAD"," ","CHURCH POINT","NS","B0W1M0"
"CORMIER'S FIVE ISLAND CLAMS LIMITED","93","WHARF ROAD"," ","FIVE ISLANDS","NS","B0M1K0"
"UNIPÊCHE M.D.M. (1997) LTEE","66","AVENUE DU QUAI PLANT ID 5199"," ","PASPÉBIAC","QC","G0C2K0"
"DAVE'S FRESH CLAMS","1440","GRANVILLE RD."," ","ANNAPOLIS COUNTY","NS","-"
"DEEP COVE AQUA FARMS LIMITED","5182","HIGHWAY 329"," ","BLANDFORD","NS","B0J1C0"
"DELAPS COVE FISH PRODUCTS LTD.","2680","SHORE RD WEST CANADA"," ","DELAPS COVE","NS","B0S1K0"
"SEA TIDE IMPORT & EXPORT LTD. (PLANT #1)","55","CORMIER STREET"," ","CAP-PELE","NB","E4N1N8"
"SEA TIDE IMPORT & EXPORT LTD","45","CORMIER STREET"," ","CAP-PELE","NB","E4N1N8"
"SUNCOAST SEAFOOD INC","87","CHEMIN QUAI-CAP-COCAGNE"," ","GRANDE-DIGUE","NB","E4R4H7"
"EAST SIDE FISHERIES LIMITED","337","HWY 3"," ","LOWER EAST PUBNICO","NS","B0W2A0"
"SHEDIAC LOBSTER SHOP LTD.","261","MAIN STREET"," ","SHEDIAC","NB","E4P2A6"
"EMERY SMITH FISHERIES LIMITED","5309","HWY 3"," ","SHAG HARBOUR","NS","B0W3B0"
"SOUTH SHORE TRADING CO. LTD.","36","JOHN A. TRENHOLM ROAD"," ","UPPER CAPE","NB","E4M2R6"
"CAPE BALD PACKERS LTD.","769","CHEMIN DE LA POINTE"," ","RICHIBUCTO VILLAGE","NB","E4W1G1"
"FISHERMAN'S MARKET INTERNATIONAL INCORPORATED","607","BEDFORD HIGHWAY"," ","HALIFAX","NS","B3M2L6"
"WEST INDIA TRADING CO. INC.","2086","ROUTE 950"," ","PETIT-CAP","NB","E4N2J7"
"WESTMORLAND FISHERIES LTD.","64","GAUTREAU STREET"," ","CAP-PELE","NB","E4N1V3"
"WOLFHEAD SMOKERS LTD.","420","ROUTE 172"," ","LETANG","NB","E5C1W5"
"FORT POINT FISHERIES LIMITED","107","FORT POINT ROAD"," ","SHELBURNE","NS","-"
"FOSTER'S SEAFOODS","108","CHEMIN DE LA POINTE"," ","TUSKET","NS","B0W3M0"
"GULLIVER'S COVE FISHERIES","556","GULLIVER'S COVE ROAD"," ","DIGBY","NS","B0V1A0"
"MAC'S OYSTERS LTD.","7162","SOUTH ISLAND HIGHWAY"," ","FANNY BAY","BC","V0R1W0"
"HUB CITY FISHERIES LTD.","262","SOUTHSIDE DRIVE"," ","NANAIMO","BC","V9R6Z5"
"MID-OCEAN FISHERIES LTD.","12831","CLARKE PLACE CANADA","#150","RICHMOND","BC","V6V2H9"
"AERO TRADING CO. LTD.","1080","SKEENA DRIVE"," ","PORT EDWARD","BC","V0V1G0"
"MOON ENTERPRISES INC.","11720","VOYAGEUR WAY","#2","RICHMOND","BC","V6X3G9"
"AERO TRADING CO. LTD.","200-8592","FRASER STREET"," ","VANCOUVER","BC","V5X3Y3"
"SEABORN ENTERPRISES LTD.","79","& 91 EAST KENT AVENUE NORTH CANADA"," ","VANCOUVER","BC","V5X2X5"
"CANADIAN FISHING COMPANY, A DIVISION OF JIM PATTISON ENTERPRISES LTD."," ","FOOT OF SEAL COVE ROAD"," ","PRINCE RUPERT","BC","V8J3R5"
"CANADIAN FISHING COMPANY,  A DIVISION OF JIM PATTISON ENTERPRISES LTD.","13140","RICE MILL ROAD"," ","RICHMOND","BC","V6W1A1"
"CANADIAN FISHING COMPANY, A DIVISION OF JIM PATTISON ENTERPRISES LTD.","181","GEORGE HILLS WAY"," ","PRINCE RUPERT","BC","V8J1A3"
"MARINE HARVEST CANADA INC.","7200","COHO ROAD"," ","PORT HARDY","BC","V0N2P0"
"SALISH SEA FOODS LIMITED PARTNERSHIP","820","SHAMROCK PLACE CANADA"," ","COMOX","BC","V9M4G4"
"OCEANFOOD INDUSTRIES LIMITED","11520","EBURNE WAY"," ","RICHMOND","BC","V6V2G7"
"ORCA SPECIALTY FOODS LTD.","17350","56TH AVENUE","#4","SURREY","BC","V3S1C3"
"CERMAQ CANADA PROCESSING LTD.","61","4TH STREET"," ","TOFINO","BC","-"
"BAYNES SOUND OYSTER CO. LTD.","5848","ISLAND HIGHWAY"," ","UNION BAY","BC","V0R3B0"
"PACIFIC NORTHWEST SHELLFISH COMPANY LTD.","8851","BECKWITH ROAD","#150","RICHMOND","BC","V6X1V4"
"HEILTSUK FISHERIES MANAGEMENT LTD."," ","FOOT OF MCLOUGHLIN BAY ROAD"," ","BELLA BELLA 1","BC","V0T1Z0"
"PACIFIC RIM SHELLFISH (2003) CORP.","1807","MAST TOWER ROAD"," ","VANCOUVER","BC","V6H3X7"
"BEST HONOUR INTERNATIONAL SEAFOOD LTD.","11786","RIVER ROAD","#126","RICHMOND","BC","V6X1Z7"
"BLUNDELL SEAFOODS LTD.","11351","RIVER ROAD"," ","RICHMOND","BC","V6X1Z6"
"KEYSTONE MERCHANDISING","4751","SHELL ROAD","#12","RICHMOND","BC","V6X3H4"
"PALADIN INTERNATIONAL FOOD SALES LTD.","12671","BATHGATE WAY","#9","RICHMOND","BC","V6V1Y5"
"THE PENDER HARBOUR FISHING CO. LTD","13067","HASSAN ROAD"," ","MADEIRA PARK","BC","V0N2H0"
"BROWN'S BAY PACKING COMPANY LTD.","15007","BROWN'S BAY ROAD"," ","CAMPBELL RIVER","BC","V9H1N9"
"CAMPBELL RIVER FISHING CO. LTD.","1330","HOMEWOOD ROAD"," ","CAMPBELL RIVER","BC","V9W3N7"
"S. M. PRODUCTS (B.C.) LTD.","3827","RIVER ROAD WEST CANADA"," ","DELTA","BC","V4K3N2"
"PACIFIC SALMON INDUSTRIES INC. O/A SCANNER ENTERPRISES","8305","128TH STREET"," ","SURREY","BC","V3W4G1"
"SEA WORLD FISHERIES LTD.","1708","PANDORA STREET"," ","VANCOUVER","BC","V5L1L9"
"KELTIC SEAFOODS LIMITED","8625","GLENVIEW ROAD"," ","PORT HARDY","BC","V0N2P0"
"HAIDA WILD LIMITED PARTNERSHIP","1620","OLD BEACH ROAD"," ","MASSET","BC","V0T1M0"
"ST. JEAN'S COAST MOUNTAIN RESOURCES INC.","242","SOUTHSIDE DRIVE"," ","NANAIMO","BC","V9R6Z5"
"SUNG FISH COMPANY LIMITED","1795","PANDORA STREET"," ","VANCOUVER","BC","V5L1L8"
"TIMOTHY OYSTER CO. LTD.","5035","PATON ROAD"," ","LADYSMITH","BC","V9G1M6"
"TRI-STAR SEAFOOD SUPPLY LTD.","11751","VOYAGEUR WAY"," ","RICHMOND","BC","V6X3J4"
"UCLUELET HARBOUR SEAFOODS LTD.","1661","CEDAR ROAD"," ","UCLUELET","BC","V0R3A0"
"CLOVERDALE COLD STORAGE LTD. #2","3133","188TH STREET"," ","SURREY","BC","V3Z9V5"
"COOPER'S COVE OYSTER FARM LTD.","6377","BELVISTA PLACE CANADA"," ","SOOKE","BC","V9Z0S9"
"COOPER'S COVE OYSTER FARM LTD.","6377","BELVISTA PLACE CANADA"," ","SOOKE","BC","V9Z0S9"
"DOLLAR FOOD MANUFACTURING INC.","1410","1450 ODLUM DRIVE"," ","VANCOUVER","BC","V5L4X7"
"E-FISH-ENT FISH COMPANY LTD.","1941","GOODRIDGE ROAD"," ","SOOKE","BC","V9Z0C6"
"EVERGREEN INTERNATIONAL FOODSTUFFS LTD.","1944","FRANKLIN STREET"," ","VANCOUVER","BC","V5L1R2"
